SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,FG2M,FG2A,FG2_PTS,FG3_PTS,FRAC_ATT_2PT,FRAC_ATT_3PT,FRAC_MK_2PT,FRAC_MK_3PT,FRAC_PTS_2PT,FRAC_PTS_3PT,FRAC_PTS_FT,OPP_TEAM_ABBR,OPP_PTS,MONTH,YEAR,HOME_AWAY,CONFERENCE,OPP_CONFERENCE,DATE_MATCHUP
22025,1610612750,MIN,Minnesota Timberwolves,0022500110,2025-10-26,MIN vs. IND,W,240,39,84,0.464,10,33,0.303,26,37,0.703,13,35,48,19,9,4,14,24,114,4,1,29,51,58,30,0.6071428571428571,0.39285714285714285,0.7435897435897436,0.2564102564102564,0.5087719298245614,0.2631578947368421,0.22807017543859648,IND,110,10,2025,HOME,WEST,EAST,10-26 vs. IND
22025,1610612742,DAL,Dallas Mavericks,0022500111,2025-10-26,DAL vs. TOR,W,240,50,85,0.588,10,26,0.385,29,39,0.744,12,37,49,32,12,7,20,26,139,10,1,40,59,80,30,0.6941176470588235,0.3058823529411765,0.8,0.2,0.5755395683453237,0.2158273381294964,0.20863309352517986,TOR,129,10,2025,HOME,WEST,EAST,10-26 vs. TOR
22025,1610612765,DET,Detroit Pistons,0022500106,2025-10-26,DET vs. BOS,W,240,39,93,0.419,9,34,0.265,32,36,0.889,19,36,55,22,7,5,16,24,119,6,1,30,59,60,27,0.6344086021505376,0.3655913978494624,0.7692307692307693,0.23076923076923078,0.5042016806722689,0.226890756302521,0.2689075630252101,BOS,113,10,2025,HOME,EAST,EAST,10-26 vs. BOS
22025,1610612738,BOS,Boston Celtics,0022500106,2025-10-26,BOS @ DET,L,240,40,94,0.426,15,45,0.333,18,24,0.75,12,26,38,17,11,8,12,26,113,-6,1,25,49,50,45,0.5212765957446809,0.4787234042553192,0.625,0.375,0.4424778761061947,0.39823008849557523,0.1592920353982301,DET,119,10,2025,AWAY,EAST,EAST,10-26 @ DET
22025,1610612758,SAC,Sacramento Kings,0022500113,2025-10-26,SAC vs. LAL,L,240,45,101,0.446,18,43,0.419,12,18,0.667,13,27,40,27,13,4,16,26,120,-7,1,27,58,54,54,0.5742574257425742,0.42574257425742573,0.6,0.4,0.45,0.45,0.1,LAL,127,10,2025,HOME,WEST,WEST,10-26 vs. LAL
22025,1610612747,LAL,Los Angeles Lakers,0022500113,2025-10-26,LAL @ SAC,W,240,39,80,0.488,8,25,0.32,41,46,0.891,10,37,47,26,9,3,17,17,127,7,1,31,55,62,24,0.6875,0.3125,0.7948717948717948,0.20512820512820512,0.4881889763779528,0.1889763779527559,0.3228346456692913,SAC,120,10,2025,AWAY,WEST,WEST,10-26 @ SAC
22025,1610612746,LAC,LA Clippers,0022500112,2025-10-26,LAC vs. POR,W,240,44,80,0.55,12,31,0.387,14,15,0.933,7,39,46,26,11,8,24,27,114,7,1,32,49,64,36,0.6125,0.3875,0.7272727272727273,0.2727272727272727,0.5614035087719298,0.3157894736842105,0.12280701754385964,POR,107,10,2025,HOME,WEST,WEST,10-26 vs. POR
22025,1610612757,POR,Portland Trail Blazers,0022500112,2025-10-26,POR @ LAC,L,240,34,92,0.37,11,41,0.268,28,34,0.824,18,24,42,24,12,2,16,21,107,-7,1,23,51,46,33,0.5543478260869565,0.44565217391304346,0.6764705882352942,0.3235294117647059,0.42990654205607476,0.308411214953271,0.2616822429906542,LAC,114,10,2025,AWAY,WEST,WEST,10-26 @ LAC
22025,1610612748,MIA,Miami Heat,0022500108,2025-10-26,MIA vs. NYK,W,240,38,83,0.458,13,37,0.351,26,31,0.839,9,41,50,25,7,1,16,16,115,8,1,25,46,50,39,0.5542168674698795,0.4457831325301205,0.6578947368421053,0.34210526315789475,0.43478260869565216,0.3391304347826087,0.22608695652173913,NYK,107,10,2025,HOME,EAST,EAST,10-26 vs. NYK
22025,1610612749,MIL,Milwaukee Bucks,0022500107,2025-10-26,MIL @ CLE,L,240,40,79,0.506,13,33,0.394,20,28,0.714,9,28,37,25,12,6,18,26,113,-5,1,27,46,54,39,0.5822784810126582,0.4177215189873418,0.675,0.325,0.4778761061946903,0.34513274336283184,0.17699115044247787,CLE,118,10,2025,AWAY,EAST,EAST,10-26 @ CLE
